#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
111,Tucker Kraft,TE,GB,5.7,3.6,4.4,17.3,24.8,3.5,12.3,16.8,7.6,BYE,0,10.6,13.8,13.1,5.4,9.5,7.3,7.6,9.6,163.3,18
112,Alec Pierce,WR,IND,21.5,16.6,5.4,1.9,22.4,0,3.5,2.1,7.1,18.1,10.4,4.9,9.6,BYE,0,-,24.2,13.7,10.1,161.4,17
113,Jake Bates,K,DET,8,10,2,6,BYE,19,8,12,6,12,12,8,12,11,6,10,11,8,9.5,161,18
114,Wil Lutz,K,DEN,11,6,16,5,13,5,18,4,4,2,9,22,11,BYE,8,12,6,8,9.4,160,18
115,Brian Robinson Jr.,RB,WAS,17.9,14.6,10.7,20.3,13.8,-,13.1,8.6,-,-,14.2,3.4,17.9,BYE,11.7,2.1,8.9,2.6,11.4,159.8,15
116,Javonte Williams,RB,DAL,3.3,11.5,6.1,10,16.1,4.6,26.1,9.2,10.4,2.7,18.7,2.4,7.4,-,4.3,12.3,2,10.8,9.3,157.9,17
117,Derek Carr,QB,FA,21.3,22.8,9,9.1,13.6,-,-,-,13.4,20.5,18.7,-,14.6,13,-,-,-,-,15.6,155.9,10
118,Kareem Hunt,RB,KC,-,-,-,10.5,18.7,BYE,22.3,13.3,18.7,17,6,11.7,3.5,3.9,5.9,15.9,8,-,12,155.4,14
119,Deebo Samuel Sr.,WR,WAS,18.7,18,-,10.2,3,20.7,0,12.6,-,12.6,6.1,3.1,4,5.5,4.9,25.1,9.1,-,10.2,153.6,15
120,Trevor Lawrence,QB,JAC,11.3,13.3,10.4,14.8,22.2,18.1,15,24.3,21.6,-,-,BYE,1.2,-,-,-,-,-,15.2,152.2,11
121,Jalen Tolbert,WR,DAL,2.2,14.2,13.2,5.4,21.7,8.3,BYE,7.4,10.9,4.4,4.1,10.2,6.1,0,8.1,10,12,13.8,8.9,152,18
122,Jaylen Waddle,WR,MIA,16.2,8.5,6.6,7.6,8.6,BYE,2.1,8.5,7.6,8.6,5.7,28.4,11.3,20.9,0,-,0,9,9.4,149.6,17
123,David Njoku,TE,CLE,8.4,-,-,-,2.4,8.1,23.6,17.1,7.9,BYE,19.1,3.9,26.2,17.2,-,14.6,-,-,13.5,148.5,12
124,DeMario Douglas,WR,NE,3.2,0,14.8,4.3,11.9,21.2,3.4,3.2,10.5,9,9.9,11.3,6,BYE,10.1,7.9,14.6,6.4,8.7,147.7,18
